comm_id,client_pin,comm_date,comm_type,channel,offer_id,success
h-00037,30002,2026-01-27,push_credit,push,CC_LIMIT,0
h-00038,30002,2026-02-21,sms_cashback,sms,CASHBACK_5,0
h-00039,30002,2026-03-08,push_service,push,PUSH_ON,1
h-00040,30002,2026-03-23,email_cashback,email,CASHBACK_5,0
h-00041,30002,2026-04-02,push_cashback,push,CASHBACK_5,0
h-00042,30002,2026-04-24,push_service,push,PUSH_ON,1
h-00043,30003,2025-01-14,push_cashback,push,CASHBACK_5,0
h-00044,30003,2025-02-02,sms_cashback,sms,CASHBACK_5,0
h-00045,30003,2025-02-15,push_cashback,push,CASHBACK_5,1
h-00046,30003,2025-03-06,email_cashback,email,CASHBACK_5,0
h-00047,30003,2025-03-14,push_cashback,push,CASHBACK_5,0
h-00048,30003,2025-04-06,sms_cashback,sms,CASHBACK_5,1
h-00049,30003,2025-04-30,sms_refinance,sms,REFIN_12,1
h-00050,30003,2025-05-17,sms_refinance,sms,REFIN_12,0
h-00051,30003,2025-05-31,push_cashback,push,CASHBACK_5,0
h-00052,30003,2025-06-24,push_cashback,push,CASHBACK_5,0
h-00053,30003,2025-07-06,push_service,push,PUSH_ON,0
h-00054,30003,2025-07-15,email_cashback,email,CASHBACK_5,0
h-00055,30003,2025-08-09,push_credit,push,CC_LIMIT,0
h-00056,30003,2025-08-27,push_cashback,push,CASHBACK_5,0
h-00057,30003,2025-09-17,push_cashback,push,CASHBACK_5,0
h-00058,30003,2025-09-26,email_cashback,email,CASHBACK_5,0
h-00059,30004,2025-01-22,sms_refinance,sms,REFIN_12,0
h-00060,30004,2025-02-06,sms_cashback,sms,CASHBACK_5,1
h-00061,30004,2025-02-28,push_cashback,push,CASHBACK_5,0
h-00062,30004,2025-03-09,call_collect,call,COLLECT_01,0
h-00063,30004,2025-03-22,push_cashback,push,CASHBACK_5,0
h-00064,30004,2025-04-01,email_cashback,email,CASHBACK_5,0
h-00065,30004,2025-04-24,call_collect,call,COLLECT_01,0
h-00066,30004,2025-05-07,push_cashback,push,CASHBACK_5,0
h-00067,30004,2025-05-26,push_service,push,PUSH_ON,1
h-00068,30004,2025-06-08,push_cashback,push,CASHBACK_5,1
h-00069,30004,2025-07-05,sms_cashback,sms,CASHBACK_5,0
h-00070,30004,2025-07-14,push_service,push,PUSH_ON,0
h-00071,30004,2025-07-28,sms_cashback,sms,CASHBACK_5,1
h-00072,30004,2025-08-07,sms_refinance,sms,REFIN_12,0
h-00073,30004,2025-09-04,push_cashback,push,CASHBACK_5,0
h-00074,30004,2025-09-20,sms_refinance,sms,REFIN_12,1
h-00075,30004,2025-10-15,push_service,push,PUSH_ON,0
h-00076,30004,2025-10-23,sms_cashback,sms,CASHBACK_5,0
h-00077,30004,2025-11-04,push_service,push,PUSH_ON,0
h-00078,30004,2025-12-01,sms_cashback,sms,CASHBACK_5,0
h-00079,30004,2025-12-16,sms_cashback,sms,CASHBACK_5,0
h-00080,30004,2026-01-02,call_collect,call,COLLECT_01,0
h-00081,30004,2026-01-24,push_cashback,push,CASHBACK_5,0
h-00082,30004,2026-02-18,call_collect,call,COLLECT_01,0
h-00083,30004,2026-03-01,email_cashback,email,CASHBACK_5,0
h-00084,30004,2026-03-28,push_credit,push,CC_LIMIT,1
h-00085,30004,2026-04-07,push_service,push,PUSH_ON,1
h-00086,30004,2026-05-01,push_cashback,push,CASHBACK_5,0
h-00087,30005,2025-01-30,push_cashback,push,CASHBACK_5,1
h-00088,30005,2025-02-12,sms_cashback,sms,CASHBACK_5,0
h-00089,30005,2025-03-03,push_cashback,push,CASHBACK_5,0
h-00090,30005,2025-03-23,push_service,push,PUSH_ON,1
h-00091,30005,2025-04-07,sms_refinance,sms,REFIN_12,0
h-00092,30005,2025-05-01,push_cashback,push,CASHBACK_5,0
h-00093,30005,2025-05-28,sms_cashback,sms,CASHBACK_5,1
h-00094,30005,2025-06-13,push_service,push,PUSH_ON,1
h-00095,30005,2025-06-29,sms_refinance,sms,REFIN_12,1
h-00096,30005,2025-07-13,push_cashback,push,CASHBACK_5,0
h-00097,30005,2025-07-21,sms_cashback,sms,CASHBACK_5,0
h-00098,30005,2025-08-16,call_collect,call,COLLECT_01,0
h-00099,30005,2025-08-24,push_service,push,PUSH_ON,1
h-00100,30005,2025-09-10,sms_cashback,sms,CASHBACK_5,1
h-00101,30005,2025-09-29,sms_refinance,sms,REFIN_12,0
h-00102,30006,2025-01-22,sms_cashback,sms,CASHBACK_5,0
h-00103,30006,2025-02-11,call_collect,call,COLLECT_01,0
h-00104,30006,2025-02-19,push_service,push,PUSH_ON,1
h-00105,30006,2025-03-17,sms_refinance,sms,REFIN_12,1
h-00106,30006,2025-04-11,push_service,push,PUSH_ON,0
h-00107,30006,2025-05-05,push_credit,push,CC_LIMIT,0
h-00108,30006,2025-05-15,push_cashback,push,CASHBACK_5,0
h-00109,30006,2025-06-03,push_service,push,PUSH_ON,0
h-00110,30006,2025-06-28,email_cashback,email,CASHBACK_5,0
h-00111,30006,2025-07-15,push_service,push,PUSH_ON,0
h-00112,30006,2025-08-07,call_collect,call,COLLECT_01,0
h-00113,30006,2025-09-02,push_credit,push,CC_LIMIT,0
h-00114,30006,2025-09-17,push_cashback,push,CASHBACK_5,0
h-00115,30006,2025-10-01,sms_cashback,sms,CASHBACK_5,1
h-00116,30006,2025-10-21,sms_cashback,sms,CASHBACK_5,1
h-00117,30006,2025-10-31,push_service,push,PUSH_ON,1
h-00118,30006,2025-11-11,push_cashback,push,CASHBACK_5,1
h-00119,30006,2025-11-30,email_cashback,email,CASHBACK_5,0
h-00120,30006,2025-12-11,email_cashback,email,CASHBACK_5,0
h-00121,30006,2025-12-30,sms_refinance,sms,REFIN_12,0
h-00122,30006,2026-01-09,sms_refinance,sms,REFIN_12,1
h-00123,30006,2026-01-25,call_collect,call,COLLECT_01,0
h-00124,30006,2026-02-03,push_credit,push,CC_LIMIT,0
h-00125,30006,2026-02-16,sms_cashback,sms,CASHBACK_5,0
h-00126,30006,2026-03-08,push_credit,push,CC_LIMIT,1
h-00127,30006,2026-03-24,sms_refinance,sms,REFIN_12,0
h-00128,30006,2026-04-04,email_cashback,email,CASHBACK_5,0
h-00129,30007,2025-01-18,sms_refinance,sms,REFIN_12,0
h-00130,30007,2025-02-10,sms_cashback,sms,CASHBACK_5,0
h-00131,30007,2025-03-05,call_collect,call,COLLECT_01,0
h-00132,30007,2025-03-21,sms_refinance,sms,REFIN_12,0
h-00133,30007,2025-04-18,email_cashback,email,CASHBACK_5,0
h-00134,30007,2025-05-15,push_cashback,push,CASHBACK_5,0
h-00135,30007,2025-06-01,push_service,push,PUSH_ON,0
h-00136,30007,2025-06-28,push_credit,push,CC_LIMIT,0
h-00137,30007,2025-07-12,push_cashback,push,CASHBACK_5,0
h-00138,30007,2025-07-29,push_cashback,push,CASHBACK_5,0
h-00139,30007,2025-08-20,push_credit,push,CC_LIMIT,1
h-00140,30007,2025-08-29,push_service,push,PUSH_ON,0
h-00141,30007,2025-09-26,sms_cashback,sms,CASHBACK_5,0
h-00142,30007,2025-10-22,push_service,push,PUSH_ON,1
h-00143,30008,2025-01-29,push_cashback,push,CASHBACK_5,0
h-00144,30008,2025-02-07,email_cashback,email,CASHBACK_5,0
h-00145,30008,2025-03-05,push_service,push,PUSH_ON,1
h-00146,30008,2025-03-25,push_cashback,push,CASHBACK_5,0
h-00147,30008,2025-04-17,push_service,push,PUSH_ON,1
h-00148,30008,2025-04-25,call_collect,call,COLLECT_01,0
h-00149,30008,2025-05-05,push_credit,push,CC_LIMIT,0
h-00150,30008,2025-05-24,push_credit,push,CC_LIMIT,0
h-00151,30008,2025-06-03,push_cashback,push,CASHBACK_5,0
h-00152,30008,2025-06-22,push_credit,push,CC_LIMIT,0
h-00153,30008,2025-07-11,push_cashback,push,CASHBACK_5,0
h-00154,30008,2025-07-31,sms_refinance,sms,REFIN_12,0
h-00155,30008,2025-08-14,push_credit,push,CC_LIMIT,0
h-00156,30008,2025-09-09,push_cashback,push,CASHBACK_5,0
h-00157,30008,2025-09-29,email_cashback,email,CASHBACK_5,0
h-00158,30008,2025-10-21,push_service,push,PUSH_ON,0
h-00159,30008,2025-11-03,sms_refinance,sms,REFIN_12,0
h-00160,30008,2025-11-27,push_service,push,PUSH_ON,1
h-00161,30008,2025-12-14,push_cashback,push,CASHBACK_5,0
h-00162,30008,2026-01-05,push_service,push,PUSH_ON,0
h-00163,30008,2026-01-22,sms_cashback,sms,CASHBACK_5,1
h-00164,30008,2026-02-07,sms_refinance,sms,REFIN_12,0
h-00165,30008,2026-02-24,sms_cashback,sms,CASHBACK_5,1
h-00166,30008,2026-03-14,sms_cashback,sms,CASHBACK_5,0
h-00167,30008,2026-04-07,sms_cashback,sms,CASHBACK_5,0
h-00168,30008,2026-04-17,sms_refinance,sms,REFIN_12,0
h-00169,30008,2026-05-11,call_collect,call,COLLECT_01,0
h-00170,30009,2025-01-28,push_cashback,push,CASHBACK_5,1
h-00171,30009,2025-02-20,sms_refinance,sms,REFIN_12,0
h-00172,30009,2025-03-05,push_credit,push,CC_LIMIT,1
h-00173,30009,2025-03-27,push_cashback,push,CASHBACK_5,1
h-00174,30009,2025-04-21,push_service,push,PUSH_ON,0
h-00175,30009,2025-05-19,email_cashback,email,CASHBACK_5,0
h-00176,30009,2025-06-01,push_cashback,push,CASHBACK_5,1
h-00177,30009,2025-06-27,sms_refinance,sms,REFIN_12,0
h-00178,30009,2025-07-08,push_service,push,PUSH_ON,0
h-00179,30009,2025-07-23,push_credit,push,CC_LIMIT,1
h-00180,30009,2025-08-02,push_cashback,push,CASHBACK_5,1
h-00181,30009,2025-08-16,call_collect,call,COLLECT_01,0
h-00182,30009,2025-09-07,push_service,push,PUSH_ON,0
h-00183,30009,2025-09-17,push_credit,push,CC_LIMIT,0
h-00184,30009,2025-09-25,push_cashback,push,CASHBACK_5,0
h-00185,30009,2025-10-13,email_cashback,email,CASHBACK_5,0
h-00186,30009,2025-10-28,push_cashback,push,CASHBACK_5,0
h-00187,30009,2025-11-16,call_collect,call,COLLECT_01,0
h-00188,30009,2025-12-02,sms_cashback,sms,CASHBACK_5,0
h-00189,30009,2025-12-15,push_service,push,PUSH_ON,0
h-00190,30009,2026-01-06,push_cashback,push,CASHBACK_5,1
h-00191,30009,2026-02-03,email_cashback,email,CASHBACK_5,0
h-00192,30009,2026-02-19,sms_refinance,sms,REFIN_12,0
h-00193,30009,2026-03-13,sms_cashback,sms,CASHBACK_5,0
h-00194,30009,2026-03-31,push_cashback,push,CASHBACK_5,0
h-00195,30009,2026-04-24,sms_cashback,sms,CASHBACK_5,0
h-00196,30009,2026-05-03,push_cashback,push,CASHBACK_5,0
h-00197,30009,2026-05-29,push_cashback,push,CASHBACK_5,1
h-00198,30010,2025-01-14,push_cashback,push,CASHBACK_5,0
h-00199,30010,2025-02-11,sms_cashback,sms,CASHBACK_5,1
h-00200,30010,2025-02-23,sms_cashback,sms,CASHBACK_5,0
h-00201,30010,2025-03-19,sms_refinance,sms,REFIN_12,0
h-00202,30010,2025-03-27,sms_refinance,sms,REFIN_12,0
h-00203,30010,2025-04-16,push_credit,push,CC_LIMIT,0
h-00204,30010,2025-05-04,call_collect,call,COLLECT_01,1
h-00205,30010,2025-05-24,push_cashback,push,CASHBACK_5,0
h-00206,30010,2025-06-14,sms_cashback,sms,CASHBACK_5,1
h-00207,30010,2025-07-04,push_cashback,push,CASHBACK_5,0
h-00208,30010,2025-07-24,sms_cashback,sms,CASHBACK_5,1
h-00209,30010,2025-08-09,push_cashback,push,CASHBACK_5,0
h-00210,30010,2025-08-30,call_collect,call,COLLECT_01,0
h-00211,30011,2025-01-21,call_collect,call,COLLECT_01,0
h-00212,30011,2025-02-04,push_cashback,push,CASHBACK_5,0
h-00213,30011,2025-02-22,push_cashback,push,CASHBACK_5,1
h-00214,30011,2025-03-06,push_credit,push,CC_LIMIT,0
h-00215,30011,2025-03-21,sms_refinance,sms,REFIN_12,0
h-00216,30011,2025-03-29,call_collect,call,COLLECT_01,0
h-00217,30011,2025-04-15,push_service,push,PUSH_ON,1
h-00218,30011,2025-04-23,push_credit,push,CC_LIMIT,0
h-00219,30011,2025-05-08,sms_refinance,sms,REFIN_12,0
h-00220,30011,2025-05-16,call_collect,call,COLLECT_01,1
h-00221,30011,2025-06-04,push_cashback,push,CASHBACK_5,0
h-00222,30011,2025-06-15,call_collect,call,COLLECT_01,0
h-00223,30011,2025-06-29,call_collect,call,COLLECT_01,0
h-00224,30011,2025-07-08,call_collect,call,COLLECT_01,0
h-00225,30011,2025-07-18,push_service,push,PUSH_ON,1
h-00226,30011,2025-08-11,push_cashback,push,CASHBACK_5,0
h-00227,30011,2025-09-04,call_collect,call,COLLECT_01,0
h-00228,30011,2025-09-22,sms_refinance,sms,REFIN_12,1
h-00229,30011,2025-10-20,sms_refinance,sms,REFIN_12,0
h-00230,30011,2025-11-15,push_cashback,push,CASHBACK_5,0
h-00231,30012,2025-01-24,sms_cashback,sms,CASHBACK_5,0
h-00232,30012,2025-02-01,email_cashback,email,CASHBACK_5,0
h-00233,30012,2025-02-11,sms_refinance,sms,REFIN_12,0
h-00234,30012,2025-03-01,push_cashback,push,CASHBACK_5,0
h-00235,30012,2025-03-09,sms_refinance,sms,REFIN_12,1
h-00236,30012,2025-03-30,sms_cashback,sms,CASHBACK_5,0
h-00237,30012,2025-04-23,sms_cashback,sms,CASHBACK_5,0
h-00238,30012,2025-05-02,push_service,push,PUSH_ON,0
h-00239,30012,2025-05-18,sms_cashback,sms,CASHBACK_5,0
h-00240,30012,2025-05-31,push_service,push,PUSH_ON,1
h-00241,30012,2025-06-14,call_collect,call,COLLECT_01,1
h-00242,30012,2025-07-07,push_service,push,PUSH_ON,1
h-00243,30012,2025-08-04,sms_refinance,sms,REFIN_12,0
h-00244,30013,2025-01-15,sms_cashback,sms,CASHBACK_5,0
h-00245,30013,2025-01-24,email_cashback,email,CASHBACK_5,0
h-00246,30013,2025-02-08,sms_cashback,sms,CASHBACK_5,0
h-00247,30013,2025-02-28,push_cashback,push,CASHBACK_5,1
h-00248,30013,2025-03-11,sms_refinance,sms,REFIN_12,1
h-00249,30013,2025-03-29,push_service,push,PUSH_ON,0
h-00250,30013,2025-04-12,push_cashback,push,CASHBACK_5,1
h-00251,30013,2025-04-22,sms_refinance,sms,REFIN_12,0
h-00252,30013,2025-05-02,sms_cashback,sms,CASHBACK_5,0
h-00253,30013,2025-05-10,sms_cashback,sms,CASHBACK_5,0
h-00254,30013,2025-05-28,email_cashback,email,CASHBACK_5,0
h-00255,30013,2025-06-23,push_service,push,PUSH_ON,1
h-00256,30013,2025-07-07,push_credit,push,CC_LIMIT,0
h-00257,30013,2025-07-15,call_collect,call,COLLECT_01,0
h-00258,30013,2025-08-11,push_credit,push,CC_LIMIT,0
h-00259,30013,2025-09-06,email_cashback,email,CASHBACK_5,0
h-00260,30013,2025-10-02,push_credit,push,CC_LIMIT,0
h-00261,30013,2025-10-25,sms_cashback,sms,CASHBACK_5,0
h-00262,30013,2025-11-20,sms_cashback,sms,CASHBACK_5,0
h-00263,30013,2025-12-04,push_cashback,push,CASHBACK_5,0
h-00264,30013,2025-12-27,push_cashback,push,CASHBACK_5,1
h-00265,30013,2026-01-09,push_credit,push,CC_LIMIT,1
h-00266,30013,2026-02-05,call_collect,call,COLLECT_01,0
h-00267,30013,2026-02-27,sms_refinance,sms,REFIN_12,0
h-00268,30013,2026-03-20,push_service,push,PUSH_ON,0
h-00269,30013,2026-04-16,push_service,push,PUSH_ON,0
h-00270,30013,2026-04-28,call_collect,call,COLLECT_01,0
h-00271,30013,2026-05-19,email_cashback,email,CASHBACK_5,0
h-00272,30014,2025-01-22,sms_refinance,sms,REFIN_12,0
h-00273,30014,2025-02-09,sms_cashback,sms,CASHBACK_5,1
h-00274,30014,2025-02-23,push_service,push,PUSH_ON,0
h-00275,30014,2025-03-10,push_credit,push,CC_LIMIT,0
h-00276,30014,2025-03-19,push_service,push,PUSH_ON,0
h-00277,30014,2025-04-09,push_service,push,PUSH_ON,1
h-00278,30014,2025-04-28,push_credit,push,CC_LIMIT,0
h-00279,30014,2025-05-17,call_collect,call,COLLECT_01,0
h-00280,30014,2025-05-31,push_credit,push,CC_LIMIT,0
h-00281,30014,2025-06-10,email_cashback,email,CASHBACK_5,0
h-00282,30014,2025-06-30,push_service,push,PUSH_ON,0
h-00283,30014,2025-07-22,push_credit,push,CC_LIMIT,0
h-00284,30014,2025-08-15,push_cashback,push,CASHBACK_5,0
h-00285,30015,2025-01-19,push_cashback,push,CASHBACK_5,0
h-00286,30015,2025-01-28,call_collect,call,COLLECT_01,0
h-00287,30015,2025-02-16,push_service,push,PUSH_ON,0
h-00288,30015,2025-02-28,sms_cashback,sms,CASHBACK_5,0
h-00289,30015,2025-03-13,sms_cashback,sms,CASHBACK_5,0
h-00290,30015,2025-03-30,email_cashback,email,CASHBACK_5,0
h-00291,30015,2025-04-20,call_collect,call,COLLECT_01,0
h-00292,30015,2025-05-10,push_cashback,push,CASHBACK_5,0
h-00293,30015,2025-05-30,call_collect,call,COLLECT_01,0
h-00294,30015,2025-06-12,push_credit,push,CC_LIMIT,0
h-00295,30015,2025-06-23,push_cashback,push,CASHBACK_5,1
h-00296,30015,2025-07-09,call_collect,call,COLLECT_01,0
h-00297,30015,2025-07-24,push_service,push,PUSH_ON,1
h-00298,30015,2025-08-17,email_cashback,email,CASHBACK_5,1
h-00299,30015,2025-08-31,push_cashback,push,CASHBACK_5,0
h-00300,30015,2025-09-27,sms_cashback,sms,CASHBACK_5,0
h-00301,30016,2025-02-02,push_credit,push,CC_LIMIT,0
h-00302,30016,2025-02-14,push_cashback,push,CASHBACK_5,0
h-00303,30016,2025-03-12,push_service,push,PUSH_ON,0
h-00304,30016,2025-04-03,push_credit,push,CC_LIMIT,0
h-00305,30016,2025-04-11,call_collect,call,COLLECT_01,0
h-00306,30016,2025-04-23,push_cashback,push,CASHBACK_5,1
h-00307,30016,2025-05-11,push_cashback,push,CASHBACK_5,0
h-00308,30016,2025-05-31,sms_refinance,sms,REFIN_12,0
h-00309,30016,2025-06-15,push_service,push,PUSH_ON,0
h-00310,30016,2025-06-23,push_service,push,PUSH_ON,0
h-00311,30016,2025-07-02,email_cashback,email,CASHBACK_5,0
h-00312,30016,2025-07-21,push_credit,push,CC_LIMIT,0
h-00313,30016,2025-08-16,email_cashback,email,CASHBACK_5,0
h-00314,30016,2025-09-06,push_cashback,push,CASHBACK_5,0
h-00315,30016,2025-09-19,sms_refinance,sms,REFIN_12,0
h-00316,30016,2025-10-15,push_cashback,push,CASHBACK_5,0
h-00317,30016,2025-11-09,call_collect,call,COLLECT_01,0
h-00318,30016,2025-12-05,push_service,push,PUSH_ON,0
h-00319,30016,2025-12-23,email_cashback,email,CASHBACK_5,0
h-00320,30016,2026-01-13,sms_refinance,sms,REFIN_12,0
h-00321,30016,2026-01-23,call_collect,call,COLLECT_01,0
h-00322,30016,2026-02-16,call_collect,call,COLLECT_01,0
h-00323,30016,2026-02-26,push_credit,push,CC_LIMIT,1
h-00324,30016,2026-03-12,email_cashback,email,CASHBACK_5,0
h-00325,30016,2026-03-24,call_collect,call,COLLECT_01,0
h-00326,30016,2026-04-10,email_cashback,email,CASHBACK_5,0
h-00327,30016,2026-05-07,email_cashback,email,CASHBACK_5,0
h-00328,30017,2025-01-24,sms_refinance,sms,REFIN_12,1
h-00329,30017,2025-02-11,push_credit,push,CC_LIMIT,0
h-00330,30017,2025-02-26,push_service,push,PUSH_ON,1
h-00331,30017,2025-03-18,push_service,push,PUSH_ON,0
h-00332,30017,2025-04-10,push_service,push,PUSH_ON,0
h-00333,30017,2025-04-24,push_service,push,PUSH_ON,1
h-00334,30017,2025-05-03,email_cashback,email,CASHBACK_5,0
h-00335,30017,2025-05-24,sms_cashback,sms,CASHBACK_5,0
h-00336,30017,2025-06-05,push_service,push,PUSH_ON,0
h-00337,30017,2025-06-26,call_collect,call,COLLECT_01,1
h-00338,30017,2025-07-06,email_cashback,email,CASHBACK_5,0
h-00339,30017,2025-07-22,push_service,push,PUSH_ON,1
h-00340,30017,2025-08-10,push_cashback,push,CASHBACK_5,0
h-00341,30018,2025-01-13,push_cashback,push,CASHBACK_5,0
h-00342,30018,2025-02-06,sms_cashback,sms,CASHBACK_5,0
h-00343,30018,2025-02-17,call_collect,call,COLLECT_01,0
h-00344,30018,2025-02-26,push_service,push,PUSH_ON,0
h-00345,30018,2025-03-23,push_cashback,push,CASHBACK_5,0
h-00346,30018,2025-04-13,push_service,push,PUSH_ON,0
h-00347,30018,2025-05-03,sms_cashback,sms,CASHBACK_5,1
h-00348,30018,2025-05-21,push_cashback,push,CASHBACK_5,0
h-00349,30018,2025-05-29,push_cashback,push,CASHBACK_5,0
h-00350,30018,2025-06-17,email_cashback,email,CASHBACK_5,0
h-00351,30018,2025-07-06,push_cashback,push,CASHBACK_5,0
h-00352,30018,2025-07-24,sms_cashback,sms,CASHBACK_5,1
h-00353,30018,2025-08-03,email_cashback,email,CASHBACK_5,1
h-00354,30018,2025-08-13,push_service,push,PUSH_ON,0
h-00355,30018,2025-08-31,sms_refinance,sms,REFIN_12,0
h-00356,30018,2025-09-13,push_cashback,push,CASHBACK_5,1
h-00357,30018,2025-10-10,sms_refinance,sms,REFIN_12,0
h-00358,30018,2025-11-02,call_collect,call,COLLECT_01,1
h-00359,30018,2025-11-17,call_collect,call,COLLECT_01,0
h-00360,30019,2025-01-29,call_collect,call,COLLECT_01,0
h-00361,30019,2025-02-15,push_credit,push,CC_LIMIT,0
h-00362,30019,2025-03-15,sms_refinance,sms,REFIN_12,0
h-00363,30019,2025-03-27,push_service,push,PUSH_ON,0
h-00364,30019,2025-04-07,sms_refinance,sms,REFIN_12,1
h-00365,30019,2025-04-21,push_cashback,push,CASHBACK_5,1
h-00366,30019,2025-05-10,call_collect,call,COLLECT_01,0
h-00367,30019,2025-05-27,push_service,push,PUSH_ON,0
h-00368,30019,2025-06-15,sms_cashback,sms,CASHBACK_5,1
h-00369,30019,2025-06-25,call_collect,call,COLLECT_01,0
h-00370,30019,2025-07-12,sms_refinance,sms,REFIN_12,1
h-00371,30019,2025-08-06,push_service,push,PUSH_ON,0
h-00372,30019,2025-08-23,sms_cashback,sms,CASHBACK_5,0
h-00373,30020,2025-01-30,push_cashback,push,CASHBACK_5,0
h-00374,30020,2025-02-15,call_collect,call,COLLECT_01,0
h-00375,30020,2025-03-12,push_service,push,PUSH_ON,0
h-00376,30020,2025-04-05,email_cashback,email,CASHBACK_5,0
h-00377,30020,2025-04-17,call_collect,call,COLLECT_01,1
h-00378,30020,2025-05-06,push_cashback,push,CASHBACK_5,0
h-00379,30020,2025-05-25,sms_cashback,sms,CASHBACK_5,0
h-00380,30020,2025-06-10,call_collect,call,COLLECT_01,0
h-00381,30020,2025-06-28,push_service,push,PUSH_ON,1
h-00382,30020,2025-07-22,push_service,push,PUSH_ON,1
h-00383,30020,2025-08-07,call_collect,call,COLLECT_01,1
h-00384,30020,2025-08-16,call_collect,call,COLLECT_01,0
h-00385,30020,2025-08-30,email_cashback,email,CASHBACK_5,0
h-00386,30020,2025-09-22,sms_refinance,sms,REFIN_12,0
h-00387,30021,2025-01-15,email_cashback,email,CASHBACK_5,1
h-00388,30021,2025-02-08,push_service,push,PUSH_ON,0
h-00389,30021,2025-03-05,push_cashback,push,CASHBACK_5,0
h-00390,30021,2025-03-22,push_service,push,PUSH_ON,1
h-00391,30021,2025-04-18,push_cashback,push,CASHBACK_5,0
h-00392,30021,2025-05-13,email_cashback,email,CASHBACK_5,0
h-00393,30021,2025-05-23,call_collect,call,COLLECT_01,0
h-00394,30021,2025-06-05,push_service,push,PUSH_ON,0
h-00395,30021,2025-06-30,sms_refinance,sms,REFIN_12,0
h-00396,30021,2025-07-18,sms_cashback,sms,CASHBACK_5,0
h-00397,30021,2025-08-03,call_collect,call,COLLECT_01,0
h-00398,30021,2025-08-29,sms_cashback,sms,CASHBACK_5,0
h-00399,30021,2025-09-23,push_service,push,PUSH_ON,0
h-00400,30021,2025-10-04,push_credit,push,CC_LIMIT,1
h-00401,30021,2025-10-20,push_cashback,push,CASHBACK_5,0
h-00402,30021,2025-10-30,push_cashback,push,CASHBACK_5,0
h-00403,30021,2025-11-15,sms_cashback,sms,CASHBACK_5,0
h-00404,30021,2025-12-02,push_cashback,push,CASHBACK_5,0
h-00405,30022,2025-01-18,sms_cashback,sms,CASHBACK_5,0
h-00406,30022,2025-01-29,push_cashback,push,CASHBACK_5,0
h-00407,30022,2025-02-10,push_cashback,push,CASHBACK_5,0
h-00408,30022,2025-02-20,sms_refinance,sms,REFIN_12,0
h-00409,30022,2025-03-05,push_credit,push,CC_LIMIT,0
h-00410,30022,2025-03-29,sms_refinance,sms,REFIN_12,1
h-00411,30022,2025-04-17,push_cashback,push,CASHBACK_5,0
h-00412,30022,2025-05-09,push_cashback,push,CASHBACK_5,1
h-00413,30022,2025-05-28,sms_refinance,sms,REFIN_12,0
h-00414,30022,2025-06-23,push_cashback,push,CASHBACK_5,0
h-00415,30022,2025-07-19,push_credit,push,CC_LIMIT,0
h-00416,30022,2025-08-05,push_cashback,push,CASHBACK_5,0
